text,label
"URGENT: Please process an immediate wire transfer for invoice #9921 totaling $48,250 to foreign bank account ICSBDEFFXXX within 24 hours.",1
"Action Required: Your Microsoft 365 password will expire in 24 hours. Click here to verify your identity and keep your current password.",1
"DHL Express: Your parcel #DHL-90821 could not be delivered due to unpaid customs fees. Confirm your shipping receipt at http://185.220.101.5/dhl.",1
"Final Notice: Your PayPal account has been temporarily restricted due to unauthorized login attempts. Verify your credit card details immediately.",1
"Important: Updated banking details for upcoming vendor payroll. Please replace existing direct deposit information with new routing number.",1
"Security Alert: Google Workspace unauthorized sign-in detected from IP 194.26.29.112 in Russia. Click here to secure your corporate account.",1
"Invoice overdue: Please open the attached remittance advice .zip document to confirm remittance before legal recovery proceedings begin.",1
"DocuSign: Director of Operations has sent you Employee Handbook Amendment for immediate signature. Enter your corporate login to view document.",1
"HR Dept: Mandatory Open Enrollment verification required. Download and review the attached macro-enabled payroll form to update your 401k.",1
"Suspicious transaction alert: Chase Bank detected a debit of $1,240.00 at Apple Store. If you did not authorize this, call our fraud desk or click link.",1
"IT Helpdesk: Mailbox storage quota exceeded (99.8% full). Incoming messages are pending. Click here to expand your corporate mailbox storage.",1
"Netflix: Your monthly subscription payment failed. Update billing information within 48 hours to avoid immediate account suspension.",1
"Internal IT Security Briefing: Scheduled quarterly cybersecurity awareness training for all employees on Friday at 2 PM.",0
"Sprint Planning Agenda: Please review the Jira tickets for Sprint 24 before tomorrow morning's engineering standup.",0
"Quarterly Financial Results: The Q3 corporate earnings report and investor presentation slides are now available on the internal portal.",0
"Office Maintenance Notice: The 4th floor conference rooms will be closed for HVAC maintenance this Saturday from 8 AM to 2 PM.",0
"Welcome to the team: Please join us in welcoming Sarah Chen as our new Senior Security Analyst in the SOC department.",0
"Weekly Engineering Digest: Summary of merged pull requests, architecture design documents, and upcoming release milestones.",0
"Team Lunch Reminder: Catering orders for the team milestone celebration must be submitted to the social committee by noon Wednesday.",0
"Code Review Request: Please review PR #412 regarding the optimization of database indexing and query cache performance.",0
"Documentation Update: The developer API onboarding guide has been updated with OpenAPI v3 specs and postman collection links.",0
"Benefits Enrollment Confirmation: Your health insurance and flexible spending account elections for the next calendar year have been recorded.",0
"All-Hands Meeting Link: Join the monthly town hall with company leadership today at 10 AM UTC via the corporate Google Meet link.",0
"PhishGuard AI Release Notes: Version 1.4 includes improved MIME parsing, SPF/DKIM verification matrix, and earliest origin IP tracer.",0
"URGENT: Wire transfer authorization needed for executive confidential acquisition. Keep this confidential and wire funds to designated escrow account.",1
"Amazon: Unusual order #402-99120 for iPhone 16 Pro placed on your account. If this was not you, cancel order immediately through our security link.",1
"Internal IT Memo: All corporate workstations will receive scheduled security patches tonight at 11 PM. Please save your work.",0
"Project Standup Notes: Architecture review completed, testing phase begins next Monday across staging environments.",0
"Your Wells Fargo business checking account is suspended due to compliance review. Verify ownership by entering tax ID and account PIN.",1
"Customer Support Feedback: Weekly customer satisfaction metrics and support ticket resolution time report.",0
